"city","state","country","report_summary","report_status","report_type","report_magnitude","land_uses","reporter_name","date_of_reform","last_updated","is_no_mandate_city","population","citation_url","lat","long"
"Baudette","MN","US","The C-1 District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,966,"https://parkingreform.org/mandates-map/city_detail/Baudette_MN.html",48.7124408,-94.600171
"Bay City","MI","US","The C-3 Central Business District is exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","January 24, 2024, 5:53:48 PM PST",0,32661,"https://parkingreform.org/mandates-map/city_detail/BayCity_MI.html",43.5944677,-83.8888648
"Bayard","IA","US","No off-street parking is required in the B-2 General Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:13 AM PST",0,405,"https://parkingreform.org/mandates-map/city_detail/Bayard_IA.html",41.8519311,-94.5580829
"Bayfield","WI","US","No off-street parking is required for buildings existing in the Commercial or Waterfront Zoning District as of August 26, 2008, except any off-street parking already in existence. A change of use does not require the provision of parking, however, any expansion would require additional parking.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","Aug 26, 2008","November 28, 2023, 11:47:15 AM PST",0,584,"https://parkingreform.org/mandates-map/city_detail/Bayfield_WI.html",46.811667,-90.82
"Bayfield","CO","US","In the Mill Street district, in lieu of providing all or any part of the parking spaces, a sum of money may be contributed to the ""public parking solutions fund.""","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,2838,"https://parkingreform.org/mandates-map/city_detail/Bayfield_CO.html",37.22534,-107.600936
"Bear Lake","MI","US","All off-street parking space requirements are waived for uses in the DBO District. Parking maximums are set at 100% of the minimums.","Implemented","Parking Maximums, Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","January 4, 2024, 10:26:26 AM PST",0,342,"https://parkingreform.org/mandates-map/city_detail/BearLake_MI.html",44.420835,-86.148143
"Beatrice","NE","US","Any use within the Central Business District (CBD) is exempt from the off-street parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:05 AM PST",0,12261,"https://parkingreform.org/mandates-map/city_detail/Beatrice_NE.html",40.266429,-96.747369
"Beaumont","TX","US","Uses within the central business district are exempt from parking mandates. Parking requirements may be reduced citywide through the provision of increased landscaping.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","May 8, 2024, 1:21:29 PM PDT",0,115282,"https://parkingreform.org/mandates-map/city_detail/Beaumont_TX.html",30.0860459,-94.1018461
"Beaverton","OR","US","The city council of Beaverton, pop. 99,000, voted 7-0 to repeal costly parking mandates city-wide.","Implemented","Eliminate Parking Minimums","Citywide","All Uses","","Jul 18, 2023","November 28, 2023, 11:47:17 AM PST",1,99000,"https://parkingreform.org/mandates-map/city_detail/Beaverton_OR.html",45.4871723,-122.80378
"Bedford","PA","US","The C-1 Central Commercial District and properties located in the RLC Residential and Light Commercial District used for nonresidential purposes are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:13 AM PST",0,2861,"https://parkingreform.org/mandates-map/city_detail/Bedford_PA.html",40.0186921,-78.5039069
"Beijing","BJ","CN","Beijing features four parking zones, with zone 1 (the city center) having parking maximums and no minimums, zones 2 and 3 having both minimums and maximums, and zone 4 having only minimums.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","All Uses","Samuel Deetz","","March 8, 2024, 12:36:31 PM PST",0,21893095,"https://parkingreform.org/mandates-map/city_detail/Beijing_BJ.html",39.9057136,116.3912972
"Bel Air","MD","US","Retail and service uses in the B-2 Central Business District which do not exceed a requirement 50 spaces per property are exempt from minimum parking requirements. A fee in lieu of parking may be provided for uses in the B-2 District.","Implemented","Eliminate Parking Minimums, Reduce Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","May 10, 2024, 8:15:22 PM PDT",0,10661,"https://parkingreform.org/mandates-map/city_detail/BelAir_MD.html",39.5355063,-76.3490396
"Belding","MI","US","Parking maximums are set at 110% of the minimums for parking lots with 20 or more spaces.","Implemented","Parking Maximums","Citywide","All Uses","Samuel Deetz","","March 14, 2024, 11:10:17 AM PDT",0,5938,"https://parkingreform.org/mandates-map/city_detail/Belding_MI.html",43.09781,-85.228906
"Belfast","ME","US","There are no off-street parking requirements for existing or proposed uses in the areas identified on the map entitled ""Areas Exempt from On-site Parking"". 

Reductions are eligible if using on-street parking, public parking, or shared parking strategies. ","Implemented","Eliminate Parking Minimums","Main Street/Special","All Uses","","","November 28, 2023, 11:47:04 AM PST",0,6679,"https://parkingreform.org/mandates-map/city_detail/Belfast_ME.html",44.4261194,-69.0067359
"Bella Vista","AR","US","Bella Vista removed all minimum parking requirements for nonresidential uses on May 24, 2021.","Implemented","Eliminate Parking Minimums","Citywide","Commercial, Industrial, Other","Samuel Deetz","May 24, 2021","November 28, 2023, 11:47:19 AM PST",0,30104,"https://parkingreform.org/mandates-map/city_detail/BellaVista_AR.html",36.4678036,-94.2669727
"Bellaire","MI","US","Uses in the CBD and on Bridge Street between Antrim and 4th Street are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District, Main Street/Special","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,1053,"https://parkingreform.org/mandates-map/city_detail/Bellaire_MI.html",44.9754211,-85.2099992
"Bellbrook","OH","US","The B-4 Central Business District is exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","June 4, 2024, 9:07:55 PM PDT",0,7317,"https://parkingreform.org/mandates-map/city_detail/Bellbrook_OH.html",39.6358399,-84.0701766
"Belle Fourche","SD","US","The Central Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:05 AM PST",0,5617,"https://parkingreform.org/mandates-map/city_detail/BelleFourche_SD.html",44.670905,-103.851407
"Belle Plaine","KS","US","No parking is required in the C-1 Central Commercial District except for dwelling units constructed in conjunction with business uses.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:09 AM PST",0,1467,"https://parkingreform.org/mandates-map/city_detail/BellePlaine_KS.html",37.3939098,-97.281155
"Belle Plaine","MN","US","Commercial uses in the B-3 Central Business District are exempt from minimum parking requirements. For facilities that contain residential units, two (2) parking spaces are required per unit.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:12 AM PST",0,7395,"https://parkingreform.org/mandates-map/city_detail/BellePlaine_MN.html",44.622741,-93.7685729
"Bellefontaine Neighbors","MO","US","Non-residential uses in all zoning districts may not contain more than one hundred and ten percent (110%) of the minimum number of parking spaces required.","Implemented","Parking Maximums","Citywide","Commercial, Industrial, Medical, Other","Samuel Deetz","","November 28, 2023, 11:47:11 AM PST",0,10740,"https://parkingreform.org/mandates-map/city_detail/BellefontaineNeighbors_MO.html",38.7403281,-90.2265001
"Bellefonte","DE","US","Within the RMX-1 Residential Mixed Use 1 District, commercial uses are exempt and one residential unit combined with commercial uses is also exempt. This went into effect on May 8, 2023.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial, Residential","Samuel Deetz","May 8, 2023","November 28, 2023, 11:47:19 AM PST",0,1225,"https://parkingreform.org/mandates-map/city_detail/Bellefonte_DE.html",39.7677156,-75.4985522
"Belleville","IL","US","Commercial uses in the area shown on the map are exempt from parking requirements if they are located within 500 feet of a municipal parking lot.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:08 AM PST",0,42404,"https://parkingreform.org/mandates-map/city_detail/Belleville_IL.html",38.5200504,-89.9839935
"Belleville","KS","US","The C-2 Central Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:09 AM PST",0,2007,"https://parkingreform.org/mandates-map/city_detail/Belleville_KS.html",39.8246673,-97.6325554
"Belleville","WI","US","Areas which are located in a fire district as designated on the Official Map are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:13 AM PST",0,2491,"https://parkingreform.org/mandates-map/city_detail/Belleville_WI.html",42.8595048,-89.5333388
"Bellevue","IA","US","The “C-1” Central Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:11 AM PST",0,2363,"https://parkingreform.org/mandates-map/city_detail/Bellevue_IA.html",42.2587152,-90.4230824
"Bellevue","OH","US","Off-street parking is not required in the B-1 Central Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,8249,"https://parkingreform.org/mandates-map/city_detail/Bellevue_OH.html",41.2736163,-82.8409057
"Bellevue","WA","US","Parking minimums are reduced for housing near transit, and within the Downtown, Eastgate Transit Oriented Development, and East Main Transit Oriented Development districts. Parking maximums apply to most uses citywide.","Implemented","Parking Maximums, Reduce Parking Minimums","City Center/Business District, Transit Oriented","Residential, Commercial, Other","Samuel Deetz","","February 20, 2024, 3:47:26 PM PST",0,151854,"https://parkingreform.org/mandates-map/city_detail/Bellevue_WA.html",47.6144219,-122.192337
"Bellflower","IL","US","The C-1 Central Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","January 18, 2024, 6:27:32 PM PST",0,346,"https://parkingreform.org/mandates-map/city_detail/Bellflower_IL.html",40.3400336,-88.5270053
"Bellingham","WA","US","There are no minimum parking requirements for specific land tracts in the downtown area, with the exception of hotels/motels. 

The planning director may reduce minimum parking required if the development includes programs to reduce single occupancy vehicle trips through senior and affordable housing, implementation of a shared car service (i.e., Zipcar™), enhanced bike storage facilities, purchase of WTA transit passes, installation of covered transit shelters, off-site pedestrian infrastructure improvements, or other similar strategies. ","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","","","November 28, 2023, 11:47:04 AM PST",0,92314,"https://parkingreform.org/mandates-map/city_detail/Bellingham_WA.html",48.7544012,-122.4788361
"Bellwood","NE","US","Off-street parking requirements do not apply to uses within the C-2 General Commercial District, however all uses considered places of assembly, such as churches and halls, should provide for off-street parking.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial, Residential","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,407,"https://parkingreform.org/mandates-map/city_detail/Bellwood_NE.html",41.3427903,-97.2383727
"Bellwood","IL","US","When the application of the off-street parking provisions results in a requirement of not more than three spaces on a single zoning lot in any business or industrial district, such parking spaces need not be provided; however, where two or more uses are located on a single zoning lot, only one of those uses is eligible for the exemption.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:11 AM PST",0,18789,"https://parkingreform.org/mandates-map/city_detail/Bellwood_IL.html",41.8814197,-87.883117
"Belmond","IA","US","Minimum parking requirements do not apply to areas in the Commercial District (C-1).","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,2463,"https://parkingreform.org/mandates-map/city_detail/Belmond_IA.html",42.8459977,-93.6143413
"Belmont","NC","US","Uses less than 2,500 square feet are exempt from parking requirements in the D-D Downtown District and NC-C Neighborhood Center Commercial District. Within all districts, parking requirements may be satisfied using on-street parking in front of buildings or public lots within 300 ft of primary building entrances. The maximum number of parking spaces allowed is 125% of the number of required parking spaces. Structured parking facilities are exempt from the maximum.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:15 AM PST",0,15010,"https://parkingreform.org/mandates-map/city_detail/Belmont_NC.html",35.2438272,-81.0377322
"Beloit","WI","US","There are no parking minimums in the central business district, neighborhood parks, school play areas, or in vacant lots.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:06 AM PST",0,36609,"https://parkingreform.org/mandates-map/city_detail/Beloit_WI.html",42.5083272,-89.031784
"Belvidere","IL","US","Parking requirements within the central business (CB) district are waived, unless the zoning administrator notes otherwise.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:14 AM PST",0,25339,"https://parkingreform.org/mandates-map/city_detail/Belvidere_IL.html",42.2579991,-88.841734
"Bend","OR","US","On January 18, 2023, the Bend City Council voted 4-2 to no longer require that developers create a minimum number of off-street parking spaces for new developments.  Parking maximums apply to most uses.","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","All Uses","Melanie Kebler","Jan 19, 2023","April 16, 2024, 9:58:29 PM PDT",1,100421,"https://parkingreform.org/mandates-map/city_detail/Bend_OR.html",44.0581728,-121.3153096
"Bennet","NE","US","Commercial uses in the (B-2) Central Business District are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,1082,"https://parkingreform.org/mandates-map/city_detail/Bennet_NE.html",40.6790215,-96.5078002
"Bennington","NE","US","In the C-1 Highway Commercial District, C-2 Highway Commercial Center District (Overlay), C-3 Downtown Commercial District, and C-4 Flex Business District, on-street parking within 400 feet of the use may be included in the total required off-street parking, except for apartments.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,2026,"https://parkingreform.org/mandates-map/city_detail/Bennington_NE.html",41.3647193,-96.1577968
"Bensenville","IL","US","Minimum parking requirements do not apply to non-residential uses in the C-1 District with approval of the Zoning Administrator. In all districts, the off-street parking requirements may be reduced for non-residential uses with prior written approval by the Zoning Administrator based on proximity to a commuter rail station, proximity to a bus stop, or proximity to a municipal parking lot. All uses may reduce parking requirements with approval by providing an EV charging station, paying a fee-in-lieu of required parking, or providing dedicated carshare spaces. No use may provide parking spaces in excess of one hundred twenty five percent (125%) of the required minimum parking amount, except residential uses in residential districts,  or for uses requiring 10 spaces or less.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","Dec 18, 2018","March 27, 2024, 10:58:44 AM PDT",0,18813,"https://parkingreform.org/mandates-map/city_detail/Bensenville_IL.html",41.9538384,-87.9431781
"Benton","IL","US","Off-street parking is not required for any permitted use except special uses in the B-1 Central Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:05 AM PST",0,6708,"https://parkingreform.org/mandates-map/city_detail/Benton_IL.html",37.9967163,-88.9200685
"Benton","KS","US","No parking is required in the B-2 Central Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:09 AM PST",0,943,"https://parkingreform.org/mandates-map/city_detail/Benton_KS.html",37.7889039,-97.1086498
"Benton","WI","US","Areas which are located in a fire district as designated on the Official Map are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:13 AM PST",0,946,"https://parkingreform.org/mandates-map/city_detail/Benton_WI.html",42.569382,-90.3809239
"Benton","AR","US","Within the TC-3 Town Center Zone, there are no minimum parking requirements and surface parking is not permitted. Parking requirements are reduced in the C1 Neighborhood Commercial, TC-1 Town Center Zone, and TC-2 Town Center Zone.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums, Parking Maximums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,35014,"https://parkingreform.org/mandates-map/city_detail/Benton_AR.html",34.563483,-92.586931
"Benton Harbor","MI","US","Ground floor non‐residential uses in the C‐B Central Business District are exempt from parking mandates. Parking maximums are set at 110% of the minimums in the M-U Mixed-Use District.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial, Other","Samuel Deetz","","March 22, 2024, 2:45:42 PM PDT",0,9103,"https://parkingreform.org/mandates-map/city_detail/BentonHarbor_MI.html",42.1167065,-86.4541894
"Bentonville","AR","US","Within the DC and DE Downtown zoning districts, a structure with less than 
 3,000 square feet on the ground floor is exempt from minimum parking requirements. All other uses in the districts have reduced requirements. The R-C2 Central Residential - Moderate Density, and R-C3 Central Residential High Density Districts have reduced parking requirements.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,54164,"https://parkingreform.org/mandates-map/city_detail/Bentonville_AR.html",36.3728538,-94.2088172
"Benzonia","MI","US","The US-31 Corridor Overlay Top-of-the-Hill District (COD-T) is exempt from minimum parking requirements.
Within the Village Mixed Use District (VMU) or a property within 800 feet of the district, parking requirements may be reduced based on the availability of public parking. Parking requirements may be reduced in all districts through the provision of bike parking or EV chargers.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","December 8, 2023, 5:37:31 PM PST",0,551,"https://parkingreform.org/mandates-map/city_detail/Benzonia_MI.html",44.621389,-86.099258
"Beresford","SD","US","Minimum parking requirements are not applicable to property in the CB Central Business District, except for residential uses which are authorized by a conditional use permit. ","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:08 AM PST",0,2180,"https://parkingreform.org/mandates-map/city_detail/Beresford_SD.html",43.0806132,-96.7742341
"Berkeley","CA","US","Berkeley has no parking requirements for new residential developments of any size, except for new developments on certain narrow streets in the hills. The city has parking maximums for new residential uses. ","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","Residential","Tom Radulovich","","November 28, 2023, 11:47:04 AM PST",0,121363,"https://parkingreform.org/mandates-map/city_detail/Berkeley_CA.html",37.8708393,-122.272863
"Berkley","MI","US","If a non-residential use is within 500 feet of a municipal parking lot, without crossing a major thoroughfare, no parking is required. Parking requirements may be reduced through the provision of bike parking.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums","Citywide","Commercial, Industrial, Other","Samuel Deetz","","March 18, 2024, 3:33:47 PM PDT",0,15194,"https://parkingreform.org/mandates-map/city_detail/Berkley_MI.html",42.5030909,-83.1835389
"Berlin","BE","DE","Berlin eliminated parking mandates citywide in 1997.","Implemented","Eliminate Parking Minimums","Citywide","All Uses","Samuel Deetz","","March 7, 2024, 2:25:22 PM PST",1,3576873,"https://parkingreform.org/mandates-map/city_detail/Berlin_BE.html",52.5103817,13.4349112
"Berlin","MD","US","Within the B-1 Town Center District, a fee in lieu of parking may be provided.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","May 9, 2024, 10:33:44 PM PDT",0,5026,"https://parkingreform.org/mandates-map/city_detail/Berlin_MD.html",38.324505,-75.2188589
"Bernice","OK","US","Parking requirements are reduced for retail uses in the C-3 General Commercial District.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","May 9, 2024, 11:14:46 AM PDT",0,422,"https://parkingreform.org/mandates-map/city_detail/Bernice_OK.html",36.6159107,-94.9177365
"Berrien Springs","MI","US","Berrien Springs has no off street parking requirements in the central business district. There are no set minimums along the M-139 Corridor for non-residential uses, but developers must demonstrate adequate parking supply.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Andrew von Mauer","","November 28, 2023, 11:47:04 AM PST",0,1727,"https://parkingreform.org/mandates-map/city_detail/BerrienSprings_MI.html",41.9464336,-86.3388965
"Berryville","AR","US","Minimum parking requirements do not apply within the C-1 Central Business District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,5682,"https://parkingreform.org/mandates-map/city_detail/Berryville_AR.html",36.3704704,-93.5695551
"Berthold","ND","US","Within the “MS-C” Main Street Commercial District, all customer and employee parking for businesses located on Main Street must be on-street parking. However, businesses with company vehicles that remain on-site after business hours are required to be parked either within the building or in the rear yard of the property.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:18 AM PST",0,490,"https://parkingreform.org/mandates-map/city_detail/Berthold_ND.html",48.313069,-101.737108
"Berthoud","CO","US","Commercial uses either renovating or expanding existing properties fronting on Massachusetts Ave. between 3rd and 5th Streets, Mountain Ave. between 1st and 5th Streets or Welch Avenue between 1st and 5th Streets are exempt from parking requirements. Parking maximums are set at 125% of the minimums for nonresidential uses.","Implemented","Reduce Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","February 21, 2024, 3:05:53 PM PST",0,10332,"https://parkingreform.org/mandates-map/city_detail/Berthoud_CO.html",40.3083174,-105.081092
"Berwyn","IL","US","Parking requirements may be reduced through the availability of on-street parking, or the proximity of a commuter rail station or bus stop. In the C-2 Traditional Mixed-Use District along Cermak Road only, developments that are located within 400 feet of a municipal parking lot have reduced parking requirements. Any property in the C-2 Traditional Mixed-Use District or C-3 Depot Mixed-Use District may satisfy any off-street parking requirement for a non-residential use through payment of a fee-in-lieu of providing parking spaces, subject to approval by the Zoning, Planning, and Development Commission.","Implemented","Reduce Parking Minimums","Citywide, City Center/Business District","All Uses, Commercial","Samuel Deetz","Sep 12, 2017","November 28, 2023, 11:47:14 AM PST",0,57250,"https://parkingreform.org/mandates-map/city_detail/Berwyn_IL.html",41.8505874,-87.7936685
"Bessemer","MI","US","No parking lot shall exceed the minimum parking space requirements by ten percent (10%) greater than required.","Implemented","Parking Maximums","Citywide","All Uses","Samuel Deetz","","November 28, 2023, 11:47:06 AM PST",0,1805,"https://parkingreform.org/mandates-map/city_detail/Bessemer_MI.html",46.4813363,-90.0529504
"Bessemer City","NC","US","Within the CC City center district parking must be provided unless it can be accommodated within 500 feet of a public parking lot as determined by the administrator. Parking maximums are set at 150% of the minimum parking standards. On-street parking may be used to satisfy some of the off-street parking that otherwise is required for a particular use.","Implemented","Reduce Parking Minimums, Parking Maximums","Citywide, City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:15 AM PST",0,5428,"https://parkingreform.org/mandates-map/city_detail/BessemerCity_NC.html",35.284733,-81.283906
"Bethany Beach","DE","US","Commercial uses in the C-1 Central Commercial District are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,954,"https://parkingreform.org/mandates-map/city_detail/BethanyBeach_DE.html",38.5379676,-75.0588646
"Bethel","MN","US","If off-street parking spaces were not provided for structures that were occupied before the enactment of parking requirements, provision of parking is not required. The erection, expansion or change of use of any principal building and/or secondary structure located in the B Business District may not be required to provide minimum off-street parking upon approval of a conditional use permit if it can be demonstrated that the parking requirements can be satisfied by public parking facilities.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:15 AM PST",0,476,"https://parkingreform.org/mandates-map/city_detail/Bethel_MN.html",45.404098,-93.2678063
"Bethlehem","PA","US","There are no parking minimums in CB Central Business District of Bethlehem.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Megan Lysowski","","January 22, 2024, 6:05:09 PM PST",0,75781,"https://parkingreform.org/mandates-map/city_detail/Bethlehem_PA.html",40.6178915,-75.3786521
"Beulah","MI","US","The Downtown Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","December 8, 2023, 5:37:42 PM PST",0,313,"https://parkingreform.org/mandates-map/city_detail/Beulah_MI.html",44.631944,-86.090924
"Beverly Hills","MI","US","Parking requirements are reduced in the Village Center Overlay District.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial, Other","Samuel Deetz","","March 20, 2024, 10:16:27 AM PDT",0,10599,"https://parkingreform.org/mandates-map/city_detail/BeverlyHills_MI.html",42.5226219,-83.241357
"Bexley","OH","US","Within the Main Street District, parking requirements may be reduced for on-street parking or for cross access agreements. Parking maximums apply to all uses except institutional uses in the district.","Implemented","Reduce Parking Minimums, Parking Maximums","City Center/Business District","All Uses","Samuel Deetz","","June 4, 2024, 10:19:22 AM PDT",0,13928,"https://parkingreform.org/mandates-map/city_detail/Bexley_OH.html",39.9692378,-82.936864
"Big Lake","MN","US","Nonresidential uses in the Transit Oriented District are exempt from parking requirements. Residential uses have reduced requirements and parking maximums apply to most uses.","Implemented","Eliminate Parking Minimums, Reduce Parking Minimums, Parking Maximums","Transit Oriented","Commercial, Other","Samuel Deetz","","January 20, 2024, 7:50:25 PM PST",0,11686,"https://parkingreform.org/mandates-map/city_detail/BigLake_MN.html",45.3324647,-93.7460804
"Big Rapids","MI","US","Uses within the C-2 Commercial District and within 300 feet of a municipal parking lot may utilize such lots in required parking space calculations. Parking maximums are set at 115% of the minimums citywide.","Implemented","Parking Maximums, Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","March 6, 2024, 9:09:58 AM PST",0,7727,"https://parkingreform.org/mandates-map/city_detail/BigRapids_MI.html",43.698078,-85.483656
"Big Rock","IL","US","Existing uses in the Central Business Parking Overlay District are required to provide as many parking spaces as possible under their current configuration, but otherwise are exempt. Additions and new uses are exempt if they do not increase the parking deficiency by more than 4 spaces.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:13 AM PST",0,1104,"https://parkingreform.org/mandates-map/city_detail/BigRock_IL.html",41.7639181,-88.5470219
"Big Timber","MT","US","Parking requirements for commercial uses in the CBD Central Business District are reduced. Additionally, commercial and retail uses in existing structures in the CBD may change from one permitted use to another without providing additional parking.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial, All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,1650,"https://parkingreform.org/mandates-map/city_detail/BigTimber_MT.html",45.834901,-109.955311
"Billings","MT","US","There are no minimum parking requirements in the Central Business District or the East Billings Parking Overlay. ","Implemented","Eliminate Parking Minimums","City Center/Business District, Main Street/Special","All Uses","Randy Vinson","","November 28, 2023, 11:47:04 AM PST",0,109577,"https://parkingreform.org/mandates-map/city_detail/Billings_MT.html",45.7874957,-108.49607
"Billings","MO","US","The ""C-2"" Central Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:12 AM PST",0,1084,"https://parkingreform.org/mandates-map/city_detail/Billings_MO.html",37.0675544,-93.5521411
"Biloxi","MS","US","Development in the Downtown (DT) District is exempt from the minimum off-street parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,49449,"https://parkingreform.org/mandates-map/city_detail/Biloxi_MS.html",30.4007626,-88.8893818
"Binghamton","NY","US","Off-street parking requirements do not apply to any existing buildings located in the Downtown Business (C-2) District where no parking presently exists and there is no opportunity to provide it, except for certain residential uses. In all Zoning Districts except C-2, off-street parking requirements do not apply to a non-residential land use occupying 4,000 square feet or less and located within an existing structure. Parking requirements may be reduced through the provision of EV chargers. No use other than one or two-unit dwellings may provide parking in excess of 110% of parking minimums.","Implemented","Parking Maximums, Reduce Parking Minimums","Citywide, City Center/Business District","Commercial, Residential, Other, All Uses","Samuel Deetz","","January 3, 2024, 6:06:06 PM PST",0,47969,"https://parkingreform.org/mandates-map/city_detail/Binghamton_NY.html",42.098698,-75.9125187
